iter	Passed	Remaining
478	644	701
479	645	699
480	646	697
481	649	698
482	653	699
483	654	698
484	656	696
485	658	695
486	659	694
487	660	692
488	661	691
489	662	690
490	665	689
491	667	688
492	668	687
493	670	686
494	671	685
495	672	683
496	673	681
497	673	679
498	675	677
499	675	675
500	676	674
501	677	672
502	678	670
503	679	668
504	680	667
505	682	666
506	683	664
507	684	663
508	685	661
509	686	659
510	687	658
511	688	656
512	689	654
513	690	652
514	691	650
515	692	649
516	693	647
517	694	646
518	696	645
519	697	644
520	698	642
521	699	640
522	700	639
523	701	637
524	702	635
525	703	633
526	704	632
527	705	630
528	705	628
529	707	627
530	709	626
531	712	626
532	714	625
533	716	625
534	717	623
535	718	622
536	719	620
537	720	619
538	722	617
539	723	616
540	725	615
541	726	613
542	727	612
543	728	610
544	729	608
545	730	607
546	730	605
547	731	603
548	732	601
549	733	600
550	734	598
551	735	596
552	736	595
553	737	594
554	740	593
555	741	592
556	742	590
557	744	589
558	745	587
559	745	585
560	746	584
561	747	582
562	748	580
563	749	579
564	750	577
565	751	575
566	752	574
567	753	573
568	754	571
569	756	570
570	757	569
571	758	567
572	759	566
573	760	564
574	761	562
575	762	561
576	762	559
577	763	557
578	764	556
579	765	554
580	767	553
581	769	552
582	770	551
583	772	550
584	773	548
585	774	546
586	774	545
587	775	543
588	776	541
589	777	540
590	777	538
591	778	536
592	780	535
593	781	534
594	782	532
595	784	531
596	785	530
597	786	528
598	787	527
599	788	525
600	789	524
601	790	522
602	791	520
603	791	519
604	793	517
605	794	516
606	795	514
607	797	514
608	799	513
609	800	511
610	802	510
611	803	509
612	803	507
613	804	505
614	805	504
615	806	502
616	807	501
617	808	499
618	808	497
619	809	496
620	811	495
621	813	494
622	814	492
623	815	491
624	816	489
625	817	488
626	818	486
627	819	485
628	820	483
629	821	482
630	822	480
631	822	479
632	823	477
633	824	476
634	827	475
635	828	474
636	830	472
637	831	471
638	832	470
639	833	468
640	833	467
641	834	465
642	835	463
643	836	462
644	836	460
645	837	458
646	838	457
647	839	455
648	840	454
649	841	453
650	843	452
651	844	450
652	846	449
653	846	448
654	847	446
655	848	444
656	849	443
657	850	441
658	851	440
659	852	439
660	853	437
661	855	437
662	857	436
663	859	434
664	860	433
665	861	431
666	862	430
667	863	428
668	864	427
669	865	426
670	866	424
671	867	423
672	868	421
673	870	420
674	871	419
675	873	418
676	874	417
677	875	415
678	876	414
679	877	412
680	877	411
681	878	409
682	880	408
683	881	407
684	882	405
685	884	404
686	885	403
687	887	402
688	888	401
689	890	400
690	891	398
691	892	397
692	893	395
693	894	394
694	895	393
695	896	391
696	898	390
697	899	389
698	901	388
699	902	386
700	903	385
701	904	384
702	905	382
703	906	381
704	907	379
705	908	378
706	909	376
707	910	375
708	911	374
709	912	372
710	913	371
711	915	370
712	916	369
713	918	367
714	919	366
715	920	365
716	921	363
717	922	362
718	923	360
719	924	359
720	925	357
721	925	356
722	926	355
723	928	354
724	930	352
725	931	351
726	932	350
727	934	348
728	934	347
729	935	346
730	936	344
731	937	343
732	938	341
733	939	340
734	940	339
735	941	337
736	942	336
737	944	335
738	946	334
739	947	332
740	948	331
741	949	330
742	950	328
743	951	327
744	951	325
745	952	324
746	953	322
747	954	321
748	955	320
749	956	318
750	957	317
751	958	316
752	959	314
753	960	313
754	962	312
755	962	310
756	963	309
757	964	307
758	965	306
759	966	305
760	967	303
761	968	302
762	969	301
763	970	299
764	971	298
765	973	297
766	974	296
767	976	294
768	977	293
769	978	292
770	978	290
771	979	289
772	980	287
773	981	286
774	981	285
775	982	283
776	983	282
777	984	280
778	984	279
779	986	278
780	987	276
781	988	275
782	990	274
783	991	273
784	992	271
785	992	270
786	993	268
787	994	267
788	995	266
789	996	264
790	996	263
791	997	262
792	998	260
793	999	259
794	1000	257
795	1001	256
796	1003	255
797	1004	254
798	1005	252
799	1006	251
800	1007	250
801	1008	249
802	1009	247
803	1011	246
804	1012	245
805	1014	244
806	1015	242
807	1018	241
808	1020	240
809	1023	239
810	1024	238
811	1025	237
812	1026	236
813	1027	234
814	1028	233
815	1029	232
816	1029	230
817	1031	229
818	1032	228
819	1034	227
820	1035	225
821	1037	224
822	1038	223
823	1039	222
824	1040	220
825	1041	219
826	1041	217
827	1043	216
828	1044	215
829	1047	214
830	1049	213
831	1050	212
832	1051	210
833	1052	209
834	1052	208
835	1053	206
836	1055	205
837	1055	204
838	1056	202
839	1057	201
840	1058	200
841	1059	198
842	1061	197
843	1062	196
844	1064	195
845	1065	193
846	1066	192
847	1067	191
848	1068	189
849	1068	188
850	1069	187
851	1070	185
852	1071	184
853	1072	183
854	1073	182
855	1075	180
856	1076	179
857	1077	178
858	1079	177
859	1080	175
860	1081	174
861	1082	173
862	1083	172
863	1084	170
864	1085	169
865	1086	168
866	1087	166
867	1088	165
868	1093	164
869	1096	163
870	1097	162
871	1098	161
872	1100	160
873	1102	158
874	1103	157
875	1106	156
876	1108	155
877	1110	154
878	1112	153
879	1113	151
880	1115	150
881	1115	149
882	1116	147
883	1117	146
884	1118	145
885	1120	144
886	1122	143
887	1124	141
888	1125	140
889	1126	139
890	1127	137
891	1129	136
892	1130	135
893	1131	134
894	1131	132
895	1132	131
896	1133	130
897	1135	128
898	1136	127
899	1140	126
900	1141	125
901	1143	124
902	1144	122
903	1145	121
904	1147	120
905	1148	119
906	1151	118
907	1153	116
908	1155	115
909	1156	114
910	1157	113
911	1158	111
912	1159	110
913	1160	109
914	1161	107
915	1162	106
916	1164	105
917	1166	104
918	1167	102
919	1169	101
920	1170	100
921	1171	99
